Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,3,14,1,933,920,1055,1052,NW,361,,202,212,,3,13,MSP,PDX,1426,,,0,,0,,,,,
1988,6,29,3,957,1000,1110,1121,NW,852,,133,141,,-11,-3,MIA,MEM,860,,,0,,0,,,,,
1988,4,24,7,647,645,750,800,UA,901,,63,75,,-10,2,LGA,IAD,229,,,0,,0,,,,,
1988,9,16,5,710,710,743,751,CO,1169,,93,101,,-8,0,TUL,DEN,541,,,0,,0,,,,,
1988,3,6,7,1941,1941,2110,2059,EA,626,,89,78,,11,0,RDU,LGA,431,,,0,,0,,,,,
1988,2,15,1,2319,1543,,1618,UA,587,,,35,,,456,MHT,ALB,121,,,0,,1,,,,,
1988,7,22,5,2110,2110,2314,2252,DL,727,,124,102,,22,0,DCA,ATL,547,,,0,,0,,,,,
1988,8,6,6,1600,1600,1653,1700,HP,67,,53,60,,-7,0,SNA,LAS,226,,,0,,0,,,,,
1988,7,23,6,1111,1050,1154,1130,US,507,,43,40,,24,21,BNA,BHM,177,,,0,,0,,,,,
1988,4,4,1,1330,1330,1512,1530,NW,273,,162,180,,-18,0,DTW,HOU,1093,,,0,,0,,,,,
1988,9,13,2,1932,1927,2114,2100,AA,965,,102,93,,14,5,MCI,DFW,460,,,0,,0,,,,,
1988,8,28,7,1738,1730,1913,1900,EA,185,,95,90,,13,8,BOS,DCA,399,,,0,,0,,,,,
1988,12,20,2,938,940,1047,1051,US,432,,69,71,,-4,-2,PHL,BOS,280,,,0,,0,,,,,
1988,4,7,4,2255,2147,2336,2227,PI,896,,41,40,,69,68,BWI,CHO,120,,,0,,0,,,,,
1988,1,21,4,1121,1122,1216,1216,PS,1442,,55,54,,0,-1,BUR,LAS,223,,,0,,0,,,,,
1988,5,21,6,1606,1605,1644,1650,US,419,,98,105,,-6,1,PHL,IND,587,,,0,,0,,,,,
1988,11,11,5,1839,1840,550,545,AA,8,,431,425,,5,-1,HNL,DFW,3784,,,0,,0,,,,,
1988,9,6,2,1735,1735,1928,1935,NW,275,,173,180,,-7,0,DTW,HOU,1093,,,0,,0,,,,,
1988,12,30,5,1518,1520,1621,1630,PI,1690,,63,70,,-9,-2,BWI,UCA,282,,,0,,0,,,,,
1988,9,11,7,630,630,657,703,NW,680,,27,33,,-6,0,RST,MSP,76,,,0,,0,,,,,
1988,10,9,7,2152,2155,2257,2256,US,549,,65,61,,1,-3,BUF,LGA,292,,,0,,0,,,,,
1988,10,8,6,823,825,931,927,PI,1962,,68,62,,4,-2,GSO,BWI,278,,,0,,0,,,,,
1988,1,2,6,1220,1220,1519,1518,EA,5,,179,178,,1,0,EWR,MIA,1086,,,0,,0,,,,,
1988,4,13,3,627,630,1226,1247,AA,630,,239,257,,-21,-3,SJC,ORD,1829,,,0,,0,,,,,
1988,3,28,1,2135,2040,2140,2046,UA,691,,65,66,,54,55,DTW,ORD,235,,,0,,0,,,,,
